"","protein2_clean","protein1_clean","protein1","protein2","combined_score","gene1","entrez1","gene2","entrez2","go_similarity","label"
"28","ENSP00000364133","ENSP00000377027","9606.ENSP00000377027","9606.ENSP00000364133",969,"TGFBRAP1","9392","TGFBR1","7046",0.313,0
"29","ENSP00000430432","ENSP00000358862","9606.ENSP00000358862","9606.ENSP00000430432",948,"PCGF6","84108","HDAC2","3066",0.397,0
"30","ENSP00000270257","ENSP00000369895","9606.ENSP00000369895","9606.ENSP00000270257",999,"GEMIN8","54960","GEMIN7","79760",1,1
"31","ENSP00000329419","ENSP00000449270","9606.ENSP00000449270","9606.ENSP00000329419",999,"COPZ1","22818","COPB2","9276",0.943,1
"32","ENSP00000292475","ENSP00000349142","9606.ENSP00000349142","9606.ENSP00000292475",998,"ATP5F1C","509","ATP5MF","9551",0.804,1
"33","ENSP00000258302","ENSP00000297313","9606.ENSP00000297313","9606.ENSP00000258302",910,"RGS20","8601","RGS8","85397",0.678,1
"34","ENSP00000312311","ENSP00000354580","9606.ENSP00000354580","9606.ENSP00000312311",998,"MRPL21","219927","MRPL46","26589",1,1
"35","ENSP00000295121","ENSP00000005386","9606.ENSP00000005386","9606.ENSP00000295121",948,"RPAP3","79657","DNAAF10","116143",1,1
"36","ENSP00000334100","ENSP00000264710","9606.ENSP00000264710","9606.ENSP00000334100",962,"RAB10","10890","EXOC7","23265",0.362,0
"37","ENSP00000322419","ENSP00000449328","9606.ENSP00000449328","9606.ENSP00000322419",999,"RPLP0","6175","RPLP2","6181",1,1
"38","ENSP00000216237","ENSP00000370936","9606.ENSP00000370936","9606.ENSP00000216237",993,"E2F6","1876","L3MBTL2","83746",0.931,1
"39","ENSP00000441543","ENSP00000261303","9606.ENSP00000261303","9606.ENSP00000441543",990,"PSMC1","5700","UBC","7316",0.86,1
"40","ENSP00000331849","ENSP00000382250","9606.ENSP00000382250","9606.ENSP00000331849",980,"MRPS6","64968","MRPL54","116541",1,1
"41","ENSP00000355607","ENSP00000241052","9606.ENSP00000241052","9606.ENSP00000355607",957,"CAT","847","GNPAT","8443",0.094,0
"42","ENSP00000364589","ENSP00000436926","9606.ENSP00000436926","9606.ENSP00000364589",903,"NFRKB","4798","CUL4A","8451",0.239,0
"43","ENSP00000221700","ENSP00000311095","9606.ENSP00000311095","9606.ENSP00000221700",926,"CYP4A11","1579","CYP4F2","8529",0.775,1
